en	15000000	3000000	3000000
jv	92740	15084	8862
tl	190761	13314	8555
ca	901741	345951	139936
tr	723192	154136	63496
no	822868	245505	123940
nn	258019	64850	42676
tg	76507	4170	1302
te	123451	19477	8560
ny	488	33	24
bs	260745	47504	15956
ga	50484	9083	6476
th	327294	41927	21607
bn	262711	25174	15296
fi	728937	214865	116033
ta	146032	31197	17353
su	35946	5115	3258
sv	3637679	396235	168182
fr	3740554	1240582	456219
bg	377182	124853	59124
ka	195137	36894	20934
st	696	12	3
sw	62813	9253	6536
be	227713	49112	25927
sl	285550	80243	36690
sk	353298	79438	36419
da	419200	129771	63941
so	10569	1053	660
sr	936218	148558	54853
sq	107431	15708	7788
ko	795213	151686	69196
cy	142580	28831	15776
he	505034	163900	82942
sh	4020652	235623	54851
kk	348909	79514	11601
km	19156	2609	810
si	43366	5089	2035
ha	2128	92	62
cs	663903	254448	114378
kn	47444	9058	4194
gl	257172	79011	43601
pa	36916	4975	3270
pl	1754291	629054	246171
gu	35247	5479	2423
ru	3395378	910537	222039
hr	251232	88182	43560
lo	4733	339	232
zh	2680339	76272	43200
ro	1053857	111986	52739
vi	1529056	146103	76168
ht	58793	11458	188
hu	683220	215691	90599
lv	197083	38202	21876
hi	179131	33298	16789
lt	311098	85034	39342
de	3653951	1482675	503526
id	802043	122990	65338
uz	466953	5655	3082
ig	3347	128	58
zu	1891	60	40
mg	153125	25988	2692
hy	510421	68776	21164
mk	208666	51434	21397
ml	162836	21062	12408
mi	9523	3767	1319
mn	36682	7663	5042
uk	1265197	348022	124979
eu	514644	84384	33019
az	201161	32202	13211
is	82461	18179	10508
mo	995	171	79
it	2474271	751955	327493
mr	121567	9147	5005
mt	12564	2422	1455
ms	389891	49871	26536
ur	315674	14792	9133
fa	2275129	147280	77975
ar	1102135	155961	77631
my	48006	3554	1919
el	226740	86007	45679
ne	51978	5964	2300
pt	1987508	512718	217767
yo	50893	1128	428
et	273035	63625	29533
es	3165178	914927	368434
nl	2655623	547086	234774
ja	1970771	276796	97303
yi	29888	6460	3856
af	74086	23244	16139
