source,sourceScore,hr,ro,zh,ca,vi,no,hu,nn,lv,te,lt,hi,ga,th,id,bn,de,fi,ta,bg,sv,ka,fr,hy,sl,sk,da,uk,eu,az,it,sr,ms,ko,fa,ar,he,cs,gl,el,pl,pt,en,ru,et,es,nl,ja,
lo,1,52.8,60.38709677419355,76.67532467532467,63.4375,48.648648648648646,62.42857142857143,33.839080459770116,50.509803921568626,39.0,41.979166666666664,50.495049504950494,35.49295774647887,20.0,66.15602836879432,28.46511627906977,54.486486486486484,56.4375,37.30434782608695,38.43037974683544,54.45871559633027,57.98449612403101,33.529411764705884,33.833333333333336,50.44230769230769,62.6865671641791,65.83941605839416,66.52941176470588,79.11949685534591,39.51648351648352,53.109243697478995,62.29007633587786,69.46762589928058,47.01030927835052,43.313131313131315,47.53982300884956,5.7631578947368425,45.77319587628866,70.875,45.0,31.34328358208955,58.83870967741935,69.08571428571429,35.27927927927928,37.333333333333336,61.621212121212125,78.24203821656052,61.06153846153846,44.2037037037037,
jv,1,45.45054945054945,63.0,80.98765432098766,71.46853146853147,36.36363636363637,69.98571428571428,22.974358974358974,55.51724137931034,31.90909090909091,41.76842105263158,46.659574468085104,28.06779661016949,5.217391304347826,33.97435897435897,76.71794871794872,59.71653543307087,43.37391304347826,17.36842105263158,33.970588235294116,53.925925925925924,46.495726495726494,10.363636363636363,25.58823529411765,41.108695652173914,55.75221238938053,64.51127819548873,54.27522935779817,62.4375,20.10810810810811,52.17391304347826,50.598290598290596,57.27731092436975,67.91489361702128,30.804597701149426,29.31958762886598,33.810526315789474,9.23076923076923,58.728813559322035,38.07692307692308,26.16393442622951,56.52892561983471,63.11450381679389,12.979166666666666,16.258064516129032,49.494949494949495,82.4969696969697,49.84615384615385,7.604938271604938,
tl,1,43.49425287356322,73.94594594594595,19.397849462365592,55.51724137931034,64.77272727272727,51.43636363636364,64.49612403100775,42.7906976744186,48.1764705882353,37.35897435897436,58.285714285714285,48.22018348623853,5.217391304347826,63.43939393939394,75.15789473684211,56.61538461538461,9.45054945054945,68.4087591240876,12.878048780487806,55.4954954954955,12.934782608695652,32.24242424242424,82.25454545454545,7.507692307692308,42.52873563218391,54.4954128440367,31.9,43.695238095238096,70.23776223776224,34.285714285714285,29.387755102040817,54.3304347826087,67.58571428571429,55.93043478260869,70.7132867132867,71.46853146853147,65.45454545454545,45.0,10.588235294117647,54.35294117647059,68.28985507246377,42.2803738317757,81.40243902439025,81.95121951219512,33.108108108108105,25.408163265306122,30.78,36.59405940594059,
ht,1,50.407766990291265,49.74545454545454,84.89411764705882,61.6,27.717391304347824,57.30508474576271,15.780821917808218,46.97872340425532,33.26470588235294,38.8433734939759,42.88636363636363,26.526315789473685,24.0,32.078947368421055,76.33548387096774,56.275862068965516,56.4375,9.295774647887324,41.8,45.97894736842105,59.69465648854962,21.50943396226415,7.648351648351649,49.03921568627451,60.0,66.15942028985508,60.85245901639344,71.41258741258741,20.10810810810811,53.333333333333336,57.6,65.0381679389313,47.01030927835052,39.49473684210526,19.31111111111111,14.419753086419753,40.879120879120876,64.93846153846154,49.9009900990099,19.854545454545455,46.981818181818184,66.52941176470588,1.9777777777777779,17.872340425531913,55.125,84.4733727810651,56.17741935483871,31.75257731958763,
tg,1,55.186440677966104,66.04511278195488,55.54838709677419,68.46715328467154,39.705882352941174,67.46666666666667,29.301204819277107,53.873873873873876,43.82022471910113,33.3134328358209,54.70909090909091,41.50588235294118,27.3015873015873,36.641975308641975,27.2,57.6,64.02919708029196,30.697674418604652,33.492537313432834,58.847457627118644,66.0431654676259,28.65573770491803,59.31818181818182,56.14159292035398,62.40601503759399,67.6923076923077,66.16296296296296,73.49659863945578,34.604651162790695,45.59139784946237,70.4895104895105,72.94520547945206,40.15909090909091,37.46236559139785,82.80722891566265,11.08860759493671,41.73913043478261,70.4895104895105,49.5,44.8,65.14285714285714,74.33557046979865,58.88721804511278,60.274809160305345,44.644444444444446,80.95061728395062,67.59712230215827,34.22222222222222,
ny,1,51.12380952380953,49.74545454545454,72.51700680272108,54.78260869565217,32.8125,53.73451327433628,10.971428571428572,44.449438202247194,32.59701492537314,37.975,41.51162790697674,25.714285714285715,6.666666666666667,32.078947368421055,68.0,51.69230769230769,39.92857142857143,23.1,32.49230769230769,47.34020618556701,43.24561403508772,13.217391304347826,12.957446808510639,37.43181818181818,57.983193277310924,64.51127819548873,56.46017699115044,68.6376811594203,25.435897435897434,52.41379310344828,53.333333333333336,66.19548872180451,33.77777777777778,17.4025974025974,25.21276595744681,76.33986928104575,35.294117647058826,60.9344262295082,36.71052631578947,18.666666666666668,46.981818181818184,63.11450381679389,9.46808510638298,22.515463917525775,49.494949494949495,74.14666666666666,50.79661016949152,16.11627906976744,
bs,1,58.44274809160305,64.24615384615385,51.93333333333333,70.98591549295774,42.857142857142854,71.875,30.476190476190474,56.733333333333334,45.29032258064516,33.73529411764706,53.833333333333336,41.86046511627907,27.5,36.641975308641975,23.21951219512195,55.578947368421055,64.81159420289855,31.862068965517242,33.0,65.88235294117646,65.28985507246377,30.875,60.18045112781955,55.55357142857143,62.6865671641791,67.09219858156028,62.176,77.34193548387097,33.55294117647059,40.97560975609756,77.94871794871794,78.59119496855345,38.44186046511628,38.48936170212766,60.484375,7.584415584415584,40.879120879120876,71.2551724137931,49.5,44.8,77.47096774193548,72.65753424657534,61.51470588235294,80.34782608695652,44.644444444444446,70.97931034482758,72.12328767123287,37.745098039215684,
uz,1,41.34939759036145,74.88,51.93333333333333,74.22818791946308,66.04477611940298,67.46666666666667,69.06474820143885,53.873873873873876,51.775862068965516,43.695238095238096,54.27522935779817,47.54716981132076,29.041095890410958,56.719298245614034,11.027027027027026,60.27906976744186,51.739837398373986,69.32374100719424,40.37647058823529,66.55072463768116,63.75,45.276595744680854,73.74834437086092,45.27835051546392,49.494949494949495,51.262135922330096,51.923809523809524,44.679245283018865,65.31297709923665,54.6031746031746,44.68468468468468,55.82905982905983,37.55294117647059,63.30708661417323,80.95061728395062,26.247191011235955,31.11111111111111,51.81308411214953,43.97727272727273,55.08196721311475,79.8,39.0,76.44871794871794,76.95483870967742,33.108108108108105,37.23364485981308,35.82692307692308,65.50746268656717,
ig,1,55.46218487394958,60.38709677419355,30.85148514851485,73.78378378378379,73.98648648648648,70.46808510638297,36.977777777777774,55.82905982905983,42.627906976744185,40.40449438202247,49.98,31.5,5.217391304347826,44.26373626373626,36.55913978494624,55.93043478260869,12.946236559139784,34.1123595505618,15.348837209302326,60.59016393442623,14.623655913978494,20.46153846153846,22.62,10.925373134328359,55.357142857142854,63.10077519379845,48.72,63.10077519379845,41.333333333333336,44.44444444444444,68.57142857142857,73.41496598639456,9.193548387096774,44.22,47.53982300884956,76.33986928104575,31.11111111111111,58.15384615384615,15.0,24.203389830508474,66.42962962962963,52.0,25.673076923076923,26.88,44.04494382022472,37.23364485981308,56.17741935483871,20.764044943820224,
zu,1,51.471698113207545,51.42857142857143,22.442105263157895,36.8421052631579,45.833333333333336,35.61290322580645,67.31851851851852,30.666666666666668,51.54782608695652,37.35897435897436,39.325301204819276,48.648648648648646,6.666666666666667,63.11450381679389,28.46511627906977,51.69230769230769,11.217391304347826,68.8695652173913,15.348837209302326,52.266666666666666,14.623655913978494,37.49333333333333,76.96153846153847,12.558823529411764,50.98039215686274,60.8130081300813,38.666666666666664,59.67741935483871,55.9646017699115,39.49367088607595,30.707070707070706,66.76119402985074,9.193548387096774,30.804597701149426,76.41830065359477,77.23870967741935,58.983050847457626,57.56896551724138,15.0,39.9,70.0709219858156,55.43801652892562,82.56626506024097,76.36363636363636,40.144578313253014,28.22,43.78378378378378,54.35294117647059,
