source,sourceScore,hr,ro,zh,ca,vi,tr,no,nn,hu,lv,te,hi,lt,ga,th,bn,id,de,fi,ta,bg,ka,sv,fr,hy,sl,sk,uk,da,eu,az,it,sr,ms,ko,fa,ar,he,cs,gl,el,pt,pl,en,ru,et,es,ja,nl,
lo,1,16.153846153846153,32.24242424242424,35.093333333333334,29.7,31.884057971014492,5.379310344827586,33.3134328358209,14.478260869565217,17.5,17.405405405405407,1.9259259259259258,5.538461538461538,21.958333333333332,2.0,46.91489361702128,5.4375,23.294117647058822,13.217391304347826,25.019607843137255,11.428571428571429,28.47457627118644,5.454545454545454,19.47826086956522,20.271186440677965,7.0588235294117645,17.6,21.666666666666668,36.62337662337662,29.96969696969697,13.655172413793103,11.914893617021276,35.436619718309856,26.885245901639344,9.67741935483871,12.0,15.555555555555555,1.95,21.209302325581394,29.764705882352942,16.0,14.733333333333333,44.2247191011236,33.88235294117647,27.38235294117647,28.21875,18.94736842105263,34.285714285714285,7.384615384615385,30.098360655737704,
jv,1,8.64864864864865,33.43283582089552,45.91304347826087,27.3015873015873,23.09433962264151,8.484848484848484,34.542857142857144,19.62264150943396,19.024390243902438,16.12121212121212,1.9487179487179487,5.052631578947368,12.444444444444445,1.3333333333333333,18.0,10.588235294117647,48.49484536082474,27.692307692307693,15.631578947368421,6.857142857142857,25.384615384615383,9.545454545454545,28.634920634920636,16.428571428571427,14.4375,24.03448275862069,30.666666666666668,36.49315068493151,27.789473684210527,11.586206896551724,16.296296296296298,26.85185185185185,20.622222222222224,39.9,19.659574468085108,17.73913043478261,18.958333333333332,3.272727272727273,28.8135593220339,15.771428571428572,7.875,39.775,28.42105263157895,10.690909090909091,7.304347826086956,23.56,42.627906976744185,5.5813953488372094,33.47945205479452,
tl,1,11.733333333333333,30.70967741935484,12.150943396226415,27.418181818181818,41.142857142857146,27.107142857142858,16.8,13.481481481481481,33.492537313432834,10.054054054054054,1.8888888888888888,8.979591836734693,14.594594594594595,1.3333333333333333,23.873015873015873,6.814814814814815,37.21518987341772,5.608695652173913,33.75,3.4285714285714284,26.264150943396228,18.46153846153846,8.64864864864865,38.4,3.7037037037037037,12.0,19.0,30.158730158730158,12.857142857142858,28.83582089552239,7.875,31.774647887323944,23.23404255319149,20.952380952380953,36.891891891891895,37.49333333333333,35.67123287671233,21.346153846153847,17.142857142857142,8.210526315789474,24.366666666666667,23.17241379310345,34.647887323943664,41.50588235294118,40.49382716049383,12.32,13.584905660377359,38.9873417721519,17.16,
ht,1,35.55555555555556,21.955555555555556,42.804597701149426,38.43037974683544,16.34285714285714,5.3076923076923075,28.42105263157895,18.318181818181817,8.529411764705882,7.916666666666667,1.9393939393939394,5.0,14.666666666666666,8.727272727272727,8.842105263157896,7.319148936170213,16.551724137931036,29.714285714285715,1.9259259259259258,3.789473684210526,26.037735849056602,8.470588235294118,30.295081967213115,3.8095238095238093,18.75,23.466666666666665,25.875,39.34177215189873,29.419354838709676,15.277777777777779,24.677419354838708,32.55882352941177,41.34939759036145,20.48780487804878,21.958333333333332,13.44,12.115384615384615,19.384615384615383,33.27536231884058,17.73913043478261,9.473684210526315,40.48192771084337,27.3015873015873,10.285714285714286,7.17948717948718,20.313725490196077,47.979166666666664,19.833333333333332,35.86842105263158,
tg,1,14.943396226415095,32.0,31.34328358208955,20.16,13.27659574468085,9.942857142857143,32.59701492537314,16.0,3.6923076923076925,12.342857142857143,1.9259259259259258,6.814814814814815,17.872340425531913,5.0,10.476190476190476,8.837209302325581,17.142857142857142,26.71875,5.3076923076923075,3.5,22.775510204081634,15.277777777777779,26.4,23.873015873015873,18.16216216216216,22.741935483870968,34.56,41.61904761904762,28.634920634920636,12.214285714285714,24.36,34.885714285714286,27.3015873015873,7.085714285714285,8.78048780487805,46.45161290322581,1.9444444444444444,9.1,33.973333333333336,16.864864864864863,9.23076923076923,40.97560975609756,34.647887323943664,25.242424242424242,25.875,21.155555555555555,40.19753086419753,12.04,34.0,
ny,1,13.44,31.5,35.86842105263158,32.8955223880597,19.95,8.64864864864865,32.878787878787875,15.652173913043478,13.548387096774194,23.48936170212766,1.9285714285714286,7.764705882352941,34.885714285714286,1.5,16.61111111111111,8.571428571428571,29.866666666666667,13.714285714285714,19.285714285714285,6.666666666666667,3.7777777777777777,9.545454545454545,18.352941176470587,25.875,7.875,19.11864406779661,21.466666666666665,40.833333333333336,34.285714285714285,9.6,29.333333333333332,36.567567567567565,31.060606060606062,5.866666666666666,3.7777777777777777,24.366666666666667,37.973684210526315,19.8,15.157894736842104,17.944444444444443,16.0,43.44827586206897,30.875,20.548387096774192,20.74074074074074,27.3015873015873,28.280701754385966,5.617021276595745,32.142857142857146,
bs,1,38.71604938271605,32.12307692307692,22.51851851851852,23.84313725490196,14.117647058823529,13.490196078431373,30.70967741935484,11.666666666666666,16.615384615384617,13.846153846153847,1.9090909090909092,6.933333333333334,13.27659574468085,3.3846153846153846,14.0,8.61111111111111,5.28,24.03448275862069,16.61111111111111,3.4285714285714284,25.2,11.52,24.37735849056604,31.098591549295776,12.857142857142858,33.47945205479452,35.342465753424655,44.49438202247191,27.774193548387096,9.916666666666666,21.818181818181817,34.43478260869565,47.49473684210526,3.0,10.153846153846153,27.593220338983052,1.9375,15.0,32.394366197183096,14.193548387096774,16.615384615384617,42.7906976744186,41.34939759036145,33.108108108108105,41.204819277108435,17.75609756097561,34.309859154929576,8.75,38.44155844155844,
uz,1,14.933333333333334,37.17333333333333,17.433962264150942,37.89473684210526,28.47457627118644,33.973333333333336,22.21276595744681,16.097560975609756,38.493506493506494,14.823529411764707,1.9375,7.219512195121951,13.090909090909092,4.363636363636363,14.285714285714286,12.04,1.9230769230769231,24.63157894736842,22.44,2.6666666666666665,28.636363636363637,21.50943396226415,10.0,34.52054794520548,18.46153846153846,11.52,26.763636363636362,21.12280701754386,5.181818181818182,32.43076923076923,30.17142857142857,19.03448275862069,11.772727272727273,18.652173913043477,24.408163265306122,35.86842105263158,3.7333333333333334,9.23076923076923,20.952380952380953,7.0588235294117645,8.979591836734693,25.242424242424242,46.494623655913976,37.333333333333336,35.945205479452056,16.058823529411764,16.296296296296298,27.0,27.223880597014926,
ig,1,16.07843137254902,31.21875,13.387755102040817,35.75,32.638888888888886,16.622222222222224,29.466666666666665,14.318181818181818,17.11111111111111,28.0,1.9411764705882353,6.769230769230769,12.54054054054054,1.3333333333333333,22.857142857142858,5.454545454545454,15.0,5.617021276595745,25.03846153846154,5.454545454545454,29.206349206349206,9.517241379310345,8.863636363636363,19.2,5.090909090909091,23.09433962264151,20.07017543859649,41.61904761904762,32.0,22.97872340425532,21.955555555555556,30.80597014925373,32.8955223880597,3.5555555555555554,21.0,31.34328358208955,41.50588235294118,18.0,30.80597014925373,8.555555555555555,12.48,23.873015873015873,42.35294117647059,35.63636363636363,23.333333333333332,16.12121212121212,15.054545454545455,24.677419354838708,33.73529411764706,
zu,1,6.857142857142857,32.12307692307692,13.584905660377359,26.0,38.075949367088604,38.97435897435897,21.434782608695652,12.857142857142858,24.21818181818182,29.723076923076924,1.8571428571428572,5.571428571428571,13.5,1.3333333333333333,29.333333333333332,8.571428571428571,15.555555555555555,3.813953488372093,33.91549295774648,5.454545454545454,26.41509433962264,21.551020408163264,8.837209302325581,46.97872340425532,5.333333333333333,20.48780487804878,12.32,28.448275862068964,17.142857142857142,24.62962962962963,11.916666666666666,25.185185185185187,23.48936170212766,4.8,33.73529411764706,41.904761904761905,45.23076923076923,12.218181818181819,24.705882352941178,9.333333333333334,23.09433962264151,29.764705882352942,32.43076923076923,44.644444444444446,41.785714285714285,16.764705882352942,14.884615384615385,38.075949367088604,20.093023255813954,
