source,sourceScore,hr,ro,zh,ca,vi,tr,no,nn,hu,lv,te,hi,lt,ga,th,bn,id,de,fi,ta,bg,ka,sv,fr,hy,sl,sk,uk,da,eu,az,it,sr,ms,ko,fa,ar,he,cs,gl,el,pt,pl,en,ru,et,es,ja,nl,
lo,1,42.97674418604651,49.74545454545454,41.74545454545454,44.85436893203884,37.5,5.735294117647059,47.31428571428572,41.01204819277108,24.303797468354432,28.93548387096774,28.280701754385966,14.4,38.5609756097561,3.6363636363636362,50.92156862745098,36.15584415584416,28.46511627906977,14.638297872340425,33.0,24.90566037735849,43.07692307692308,8.837209302325581,24.04040404040404,22.62,20.054794520547944,46.808510638297875,45.638297872340424,57.48760330578512,49.386138613861384,18.684931506849313,40.0,47.719298245614034,51.982142857142854,10.857142857142858,12.675675675675675,17.752808988764045,1.972972972972973,34.285714285714285,53.174311926605505,23.60655737704918,24.203389830508474,59.42857142857143,45.03703703703704,31.314814814814813,33.6,46.91489361702128,44.07079646017699,7.604938271604938,40.5,
jv,1,37.05263157894737,47.10280373831776,60.55384615384615,53.27433628318584,27.717391304347824,9.285714285714286,49.833333333333336,42.7906976744186,24.303797468354432,25.551724137931036,34.14492753623188,22.153846153846153,36.151898734177216,1.9047619047619047,26.87323943661972,46.45161290322581,56.957264957264954,32.45283018867924,18.857142857142858,27.789473684210527,39.06976744186046,11.822222222222223,34.953271028037385,17.938144329896907,31.24390243902439,45.05494505494506,50.0990099009901,48.43636363636364,42.065934065934066,14.17142857142857,41.904761904761905,38.095238095238095,41.18,48.36363636363637,23.160493827160494,20.835164835164836,22.069767441860463,3.870967741935484,44.16494845360825,30.441176470588236,14.823529411764707,50.19130434782609,39.84466019417476,11.242105263157894,7.636363636363637,37.975,60.01538461538462,5.775,39.36448598130841,
tl,1,29.333333333333332,40.32,12.898876404494382,37.916666666666664,58.53658536585366,43.775510204081634,20.444444444444443,20.271186440677965,44.40816326530612,34.542857142857144,21.958333333333332,39.6,35.30769230769231,1.9047619047619047,49.82,31.098591549295776,56.957264957264954,5.797752808988764,53.513513513513516,7.135135135135135,38.21176470588235,38.97435897435897,9.444444444444445,46.78991596638655,3.873015873015873,26.470588235294116,28.243243243243242,37.37373737373738,17.058823529411764,52.81481481481482,14.693877551020408,36.92307692307692,32.41304347826087,29.61038961038961,49.301886792452834,51.31623931623932,53.321739130434786,45.77319587628866,24.23076923076923,10.588235294117647,42.49411764705882,26.5531914893617,43.0188679245283,51.264,55.104,21.77777777777778,14.593406593406593,48.125,19.369565217391305,
ht,1,41.904761904761905,38.204081632653065,61.343511450381676,44.85436893203884,22.15909090909091,5.735294117647059,41.81818181818182,37.03896103896104,9.27536231884058,25.551724137931036,31.49206349206349,21.176470588235293,30.73972602739726,17.77777777777778,19.56923076923077,45.362637362637365,56.275862068965516,37.527272727272724,1.9701492537313432,34.43478260869565,32.607594936708864,14.553191489361701,42.123893805309734,3.9101123595505616,35.46511627906977,46.808510638297875,50.0990099009901,53.58620689655172,45.916666666666664,18.684931506849313,42.35294117647059,40.373831775700936,50.345454545454544,30.692307692307693,27.11904761904762,14.528735632183908,12.775,27.692307692307693,49.67307692307692,38.734177215189874,16.153846153846153,48.31858407079646,31.666666666666668,11.242105263157894,7.636363636363637,42.16279069767442,60.01538461538462,23.692307692307693,42.70909090909091,
tg,1,44.0,44.30769230769231,38.3177570093458,47.54716981132076,14.457831325301205,10.985915492957746,49.833333333333336,42.7906976744186,3.878787878787879,31.90909090909091,28.280701754385966,28.06779661016949,41.51162790697674,17.142857142857142,16.825396825396826,42.41860465116279,20.4,31.123809523809523,5.739130434782608,19.659574468085108,39.9080459770115,17.06122448979592,34.953271028037385,27.02912621359223,31.24390243902439,48.45360824742268,51.262135922330096,56.733333333333334,48.04040404040404,15.71830985915493,33.6231884057971,46.72566371681416,53.56140350877193,7.475409836065574,9.305555555555555,57.33870967741935,1.972972972972973,21.36986301369863,55.125,31.304347826086957,27.096774193548388,54.6,43.0188679245283,28.547169811320753,29.647058823529413,35.63636363636363,51.18333333333333,12.833333333333334,47.89565217391304,
ny,1,42.97674418604651,40.32,42.846846846846844,49.25925925925926,32.8125,9.285714285714286,46.44230769230769,40.390243902439025,17.2972972972973,29.714285714285715,28.862068965517242,16.851063829787233,42.88636363636363,1.9047619047619047,32.078947368421055,36.92307692307692,43.52,14.638297872340425,24.444444444444443,24.90566037735849,42.31111111111111,11.822222222222223,21.030927835051546,29.82857142857143,15.685714285714285,48.45360824742268,50.0990099009901,58.959349593495936,47.3469387755102,10.941176470588236,41.904761904761905,46.72566371681416,51.982142857142854,7.475409836065574,3.8840579710144927,27.979166666666668,50.839285714285715,32.19512195121951,54.486486486486484,26.71875,23.17241379310345,57.073170731707314,38.745098039215684,22.686274509803923,24.0,45.80434782608695,45.14035087719298,5.775,38.20754716981132,
bs,1,46.365591397849464,48.0,26.775510204081634,43.92156862745098,17.647058823529413,14.246575342465754,45.55339805825243,39.75308641975309,20.210526315789473,33.91304347826087,25.03846153846154,30.193548387096776,44.2,14.193548387096774,22.149253731343283,37.67088607594937,5.746478873239437,28.388349514563107,21.72151898734177,7.135135135135135,48.0,14.553191489361701,31.057692307692307,36.38181818181818,27.79746835443038,48.45360824742268,48.265306122448976,55.96638655462185,48.04040404040404,12.579710144927537,30.0,46.72566371681416,57.27731092436975,3.864406779661017,11.013698630136986,34.415841584158414,1.972972972972973,24.0,53.174311926605505,27.692307692307693,32.869565217391305,52.88135593220339,55.733333333333334,39.03508771929825,52.32786885245902,35.63636363636363,42.982142857142854,9.390243902439025,50.79661016949152,
uz,1,23.466666666666665,52.24778761061947,19.397849462365592,50.90909090909091,36.36363636363637,55.87719298245614,40.83673469387755,36.31578947368421,48.46601941747573,40.44444444444444,31.0,36.49315068493151,42.206896551724135,11.428571428571429,33.97435897435897,45.362637362637365,1.9710144927536233,29.76923076923077,44.0,7.135135135135135,49.9009900990099,38.0,11.208791208791208,42.36521739130435,24.07894736842105,15.254237288135593,32.43589743589744,23.545454545454547,5.704918032786885,43.916666666666664,43.63636363636363,20.869565217391305,12.743589743589743,21.17142857142857,37.46236559139785,58.93650793650794,3.8933333333333335,30.0,32.61176470588235,9.0,42.97674418604651,27.91578947368421,57.31147540983606,50.24193548387097,46.3448275862069,29.4,17.849462365591396,39.98076923076923,30.78,
ig,1,42.44705882352941,48.88073394495413,14.577777777777778,50.091743119266056,57.78688524590164,18.81578947368421,45.55339805825243,39.75308641975309,22.974358974358974,40.44444444444444,31.96875,27.310344827586206,36.975,1.9047619047619047,50.37623762376238,36.92307692307692,17.435897435897434,5.797752808988764,31.862068965517242,10.153846153846153,46.666666666666664,28.65573770491803,9.444444444444445,21.09090909090909,7.507692307692308,41.86046511627907,48.888888888888886,56.733333333333334,41.24444444444445,37.61797752808989,31.515151515151516,36.92307692307692,49.5045871559633,3.864406779661017,24.51219512195122,37.98076923076923,58.63934426229508,27.692307692307693,51.113207547169814,12.115384615384615,19.854545454545455,26.5531914893617,56.52892561983471,42.598290598290596,32.30769230769231,27.38235294117647,16.23913043478261,27.851063829787233,44.839285714285715,
zu,1,31.058823529411764,41.34653465346535,14.577777777777778,37.916666666666664,57.78688524590164,47.96116504854369,27.27906976744186,25.875,46.89108910891089,40.44444444444444,18.318181818181817,37.44,35.30769230769231,1.9047619047619047,48.08247422680412,22.857142857142858,17.435897435897434,3.909090909090909,52.07339449541284,10.153846153846153,37.333333333333336,35.32394366197183,9.444444444444445,60.18045112781955,7.507692307692308,29.577464788732396,22.318840579710145,37.37373737373738,19.885714285714286,44.74226804123711,17.254901960784313,32.0,34.744680851063826,5.7,42.38775510204081,53.109243697478995,58.63934426229508,53.333333333333336,40.645161290322584,12.115384615384615,38.76923076923077,34.32,46.981818181818184,56.13846153846154,58.604651162790695,27.38235294117647,16.23913043478261,45.211009174311926,26.721649484536083,
