source,sourceScore,hr,ro,zh,ca,vi,tr,no,nn,hu,lv,te,hi,lt,ga,th,bn,id,de,fi,ta,bg,ka,sv,fr,hy,sl,sk,uk,da,eu,az,it,sr,ms,ko,fa,ar,he,cs,gl,el,pt,pl,en,ru,et,es,ja,nl,
lo,1,1179.0,1385.0,1707.0,1383.0,1642.0,1365.0,1436.0,1144.0,1304.0,1203.0,786.0,1086.0,1239.0,890.0,1671.0,1026.0,1530.0,1593.0,1396.0,1142.0,1339.0,1118.0,1514.0,1702.0,1089.0,1182.0,1215.0,1427.0,1329.0,1262.0,1138.0,1551.0,1300.0,1354.0,1623.0,1543.0,1595.0,1292.0,1322.0,1224.0,1198.0,1612.0,1546.0,1921.0,1629.0,1195.0,1603.0,1727.0,1537.0,
jv,1,11023.0,18907.0,21760.0,15292.0,19688.0,17513.0,18810.0,13415.0,16962.0,13783.0,4952.0,9226.0,11992.0,8452.0,14816.0,11490.0,27752.0,21912.0,17037.0,9383.0,15638.0,13936.0,20923.0,23701.0,13167.0,14781.0,16141.0,19764.0,16703.0,15584.0,13097.0,18579.0,14505.0,20331.0,19247.0,19435.0,19588.0,12975.0,16710.0,13304.0,11582.0,21496.0,18775.0,28456.0,20996.0,14874.0,20770.0,20848.0,27361.0,
tl,1,15708.0,29674.0,42883.0,25972.0,31882.0,22420.0,25535.0,17725.0,29143.0,14806.0,5056.0,10975.0,16395.0,10050.0,19068.0,10812.0,26163.0,40696.0,25389.0,10192.0,23303.0,17292.0,28981.0,45245.0,24112.0,16213.0,21449.0,34994.0,19698.0,22397.0,15287.0,43651.0,24297.0,22418.0,31485.0,33379.0,28354.0,18197.0,22060.0,17478.0,19336.0,40613.0,37035.0,54707.0,36555.0,17208.0,42524.0,41311.0,36521.0,
ht,1,8383.0,6366.0,12307.0,23860.0,6629.0,6632.0,7291.0,5911.0,7614.0,5006.0,2269.0,4529.0,5800.0,5009.0,5615.0,4641.0,5798.0,14671.0,7188.0,3420.0,7688.0,5625.0,8392.0,16647.0,5927.0,6061.0,6308.0,12155.0,6714.0,7062.0,6106.0,19033.0,22626.0,6493.0,8357.0,20090.0,23377.0,6507.0,7508.0,5830.0,5690.0,25593.0,20639.0,11305.0,9580.0,5919.0,28335.0,8997.0,24905.0,
tg,1,8511.0,13552.0,16318.0,9977.0,15269.0,12953.0,12952.0,8513.0,11424.0,7981.0,2855.0,7014.0,9263.0,5586.0,9210.0,7263.0,12973.0,18612.0,11298.0,4974.0,10642.0,11746.0,13856.0,18758.0,10266.0,10258.0,12255.0,15141.0,11268.0,10858.0,10958.0,14897.0,10891.0,13072.0,14658.0,28531.0,14615.0,7881.0,11872.0,9922.0,7708.0,15333.0,15500.0,34426.0,18677.0,10594.0,16931.0,16378.0,14141.0,
ny,1,257.0,328.0,381.0,318.0,294.0,324.0,323.0,266.0,294.0,299.0,223.0,248.0,324.0,231.0,280.0,239.0,316.0,381.0,316.0,233.0,227.0,286.0,340.0,369.0,256.0,277.0,282.0,327.0,323.0,303.0,298.0,340.0,306.0,268.0,325.0,360.0,332.0,294.0,259.0,291.0,288.0,341.0,339.0,439.0,340.0,294.0,307.0,360.0,366.0,
bs,1,42378.0,40587.0,47986.0,31238.0,37512.0,50193.0,39499.0,22769.0,39291.0,23363.0,5491.0,13948.0,22802.0,12062.0,25718.0,17468.0,34617.0,49955.0,34640.0,13280.0,30589.0,27176.0,45488.0,59264.0,23543.0,37885.0,41666.0,54679.0,33276.0,29804.0,31538.0,46012.0,59054.0,22175.0,45424.0,46852.0,41813.0,26257.0,37581.0,24858.0,24915.0,56725.0,49707.0,71442.0,56042.0,25566.0,49957.0,45856.0,49831.0,
uz,1,18543.0,57025.0,73278.0,59777.0,59664.0,32393.0,21946.0,14328.0,63982.0,13670.0,4325.0,10407.0,13605.0,8833.0,14042.0,13067.0,30146.0,67084.0,19886.0,8400.0,23145.0,19409.0,44092.0,77677.0,29580.0,19431.0,51641.0,75836.0,21995.0,46030.0,24017.0,80039.0,63943.0,55323.0,24924.0,43165.0,40682.0,12841.0,22765.0,17589.0,12490.0,90558.0,86508.0,71982.0,72297.0,17684.0,76872.0,34903.0,88872.0,
ig,1,803.0,892.0,977.0,935.0,890.0,939.0,892.0,799.0,859.0,858.0,655.0,762.0,794.0,749.0,834.0,753.0,912.0,979.0,915.0,779.0,877.0,780.0,951.0,1021.0,784.0,841.0,831.0,949.0,919.0,856.0,853.0,978.0,903.0,839.0,943.0,978.0,945.0,849.0,884.0,810.0,815.0,1019.0,958.0,1164.0,898.0,833.0,995.0,983.0,946.0,
zu,1,736.0,947.0,1023.0,897.0,926.0,972.0,914.0,804.0,832.0,877.0,540.0,718.0,801.0,692.0,868.0,748.0,940.0,983.0,911.0,740.0,893.0,824.0,965.0,1055.0,801.0,847.0,806.0,937.0,919.0,835.0,810.0,940.0,890.0,806.0,964.0,1020.0,995.0,770.0,863.0,813.0,828.0,1040.0,921.0,1262.0,966.0,813.0,1001.0,1041.0,897.0,
