source,sourceScore,hr,ro,zh,ca,vi,tr,no,nn,hu,lv,te,hi,lt,ga,th,bn,id,de,fi,ta,bg,ka,sv,fr,hy,sl,sk,uk,da,eu,az,it,sr,ms,ko,fa,ar,he,cs,gl,el,pt,pl,en,ru,et,es,ja,nl,
lo,0.27,0.17,0.27,0.38,0.34,0.37,0.3,0.21,0.15,0.28,0.22,0.24,0.38,0.3,0.15,0.29,0.28,0.3,0.25,0.24,0.29,0.33,0.19,0.26,0.27,0.21,0.22,0.15,0.21,0.23,0.2,0.16,0.26,0.26,0.17,0.48,0.44,0.44,0.45,0.22,0.25,0.25,0.27,0.19,0.14,0.34,0.17,0.29,0.46,0.2,
jv,0.44,0.37,0.63,0.68,0.73,0.63,0.66,0.62,0.31,0.6,0.63,0.48,0.81,0.71,0.47,0.66,0.6,0.53,0.66,0.57,0.51,0.86,0.45,0.61,0.59,0.57,0.52,0.35,0.47,0.57,0.54,0.14,0.62,0.55,0.45,0.81,0.74,0.82,0.84,0.43,0.62,0.65,0.7,0.61,0.51,0.76,0.44,0.7,0.76,0.54,
tl,0.26,0.12,0.63,0.74,0.67,0.5,0.3,0.53,0.27,0.52,0.6,0.32,0.76,0.66,0.35,0.67,0.55,0.7,0.36,0.58,0.38,0.79,0.49,0.56,0.61,0.55,0.28,0.17,0.49,0.59,0.45,0.18,0.44,0.34,0.44,0.84,0.75,0.6,0.84,0.41,0.53,0.58,0.65,0.58,0.22,0.64,0.35,0.64,0.58,0.52,
ht,0.07,0.24,0.43,0.5,0.55,0.41,0.42,0.48,0.35,0.34,0.49,0.45,0.56,0.47,0.3,0.48,0.49,0.51,0.37,0.37,0.38,0.41,0.33,0.38,0.45,0.39,0.25,0.1,0.25,0.46,0.43,0.3,0.44,0.25,0.26,0.59,0.51,0.62,0.55,0.22,0.47,0.41,0.46,0.37,0.42,0.48,0.26,0.47,0.53,0.34,
tg,0.22,0.15,0.21,0.26,0.24,0.26,0.21,0.18,0.19,0.22,0.2,0.15,0.32,0.17,0.1,0.28,0.21,0.21,0.24,0.15,0.24,0.27,0.14,0.18,0.17,0.13,0.18,0.15,0.19,0.19,0.13,0.12,0.18,0.19,0.14,0.35,0.38,0.34,0.32,0.21,0.2,0.19,0.16,0.15,0.11,0.19,0.14,0.17,0.35,0.15,
ny,0.1,0.32,0.58,0.57,0.62,0.54,0.54,0.51,0.27,0.55,0.56,0.42,0.64,0.54,0.39,0.58,0.57,0.68,0.49,0.5,0.33,0.7,0.43,0.57,0.5,0.52,0.58,0.35,0.43,0.41,0.46,0.21,0.5,0.49,0.52,0.57,0.73,0.75,0.73,0.51,0.48,0.55,0.59,0.53,0.56,0.63,0.43,0.6,0.7,0.47,
bs,0.36,0.09,0.52,0.61,0.6,0.6,0.56,0.52,0.37,0.39,0.52,0.44,0.61,0.54,0.4,0.57,0.56,0.58,0.45,0.43,0.39,0.59,0.42,0.51,0.49,0.46,0.37,0.35,0.31,0.54,0.44,0.31,0.46,0.17,0.43,0.69,0.63,0.68,0.75,0.37,0.49,0.51,0.51,0.41,0.4,0.58,0.38,0.54,0.63,0.41,
uz,0.4,0.41,0.65,0.67,0.76,0.63,0.51,0.59,0.41,0.63,0.59,0.47,0.67,0.66,0.47,0.63,0.63,0.7,0.59,0.52,0.48,0.76,0.45,0.63,0.63,0.55,0.61,0.42,0.42,0.57,0.53,0.21,0.56,0.47,0.52,0.78,0.7,0.79,0.77,0.46,0.6,0.59,0.67,0.56,0.63,0.71,0.54,0.7,0.68,0.55,
ig,0.12,0.07,0.36,0.32,0.49,0.48,0.41,0.31,0.13,0.33,0.31,0.36,0.44,0.33,0.22,0.44,0.39,0.43,0.34,0.22,0.31,0.44,0.18,0.29,0.29,0.19,0.06,0.08,0.27,0.33,0.3,0.08,0.31,0.13,0.23,0.5,0.46,0.57,0.63,0.2,0.26,0.31,0.31,0.24,0.17,0.3,0.21,0.33,0.34,0.21,
zu,0.15,0.44,0.66,0.71,0.71,0.6,0.65,0.57,0.24,0.63,0.66,0.46,0.78,0.7,0.36,0.72,0.62,0.73,0.63,0.57,0.5,0.76,0.45,0.64,0.65,0.58,0.55,0.41,0.43,0.54,0.54,0.24,0.6,0.62,0.5,0.82,0.78,0.79,0.86,0.5,0.58,0.65,0.68,0.61,0.56,0.69,0.49,0.69,0.77,0.54,
su,0.36,0.4,0.58,0.64,0.64,0.63,0.59,0.54,0.31,0.54,0.61,0.46,0.75,0.63,0.43,0.68,0.56,0.47,0.59,0.49,0.49,0.78,0.49,0.59,0.67,0.53,0.46,0.39,0.39,0.55,0.47,0.26,0.56,0.54,0.33,0.78,0.71,0.76,0.82,0.5,0.58,0.54,0.65,0.54,0.51,0.7,0.53,0.67,0.74,0.53,
mg,0.07,0.33,0.57,0.61,0.67,0.56,0.52,0.49,0.25,0.45,0.55,0.4,0.69,0.55,0.44,0.59,0.55,0.61,0.51,0.46,0.45,0.7,0.48,0.55,0.59,0.5,0.49,0.27,0.36,0.42,0.46,0.15,0.56,0.49,0.53,0.67,0.68,0.73,0.65,0.38,0.49,0.55,0.58,0.53,0.49,0.62,0.42,0.59,0.71,0.42,
st,0.03,0.15,0.55,0.57,0.47,0.57,0.13,0.46,0.21,0.37,0.51,0.41,0.62,0.49,0.29,0.55,0.49,0.56,0.3,0.37,0.39,0.57,0.4,0.41,0.39,0.41,0.37,0.25,0.25,0.37,0.29,0.31,0.38,0.39,0.44,0.66,0.55,0.7,0.65,0.28,0.5,0.47,0.36,0.32,0.3,0.45,0.32,0.46,0.54,0.3,
mk,0.36,0.12,0.17,0.21,0.19,0.15,0.14,0.15,0.19,0.14,0.16,0.16,0.14,0.13,0.1,0.18,0.15,0.14,0.21,0.09,0.2,0.16,0.1,0.15,0.14,0.13,0.16,0.12,0.14,0.15,0.13,0.14,0.13,0.15,0.1,0.23,0.22,0.25,0.21,0.15,0.15,0.13,0.13,0.06,0.1,0.14,0.14,0.15,0.24,0.15,
ml,0.32,0.12,0.18,0.18,0.22,0.18,0.13,0.18,0.13,0.14,0.15,0.1,0.11,0.14,0.11,0.18,0.12,0.17,0.13,0.15,0.14,0.18,0.08,0.14,0.1,0.1,0.18,0.11,0.15,0.14,0.13,0.09,0.13,0.12,0.13,0.27,0.22,0.2,0.17,0.13,0.14,0.16,0.08,0.11,0.1,0.16,0.14,0.13,0.25,0.14,
sw,0.21,0.28,0.66,0.66,0.63,0.55,0.62,0.59,0.26,0.65,0.65,0.42,0.75,0.63,0.41,0.61,0.51,0.7,0.55,0.51,0.43,0.74,0.47,0.62,0.61,0.51,0.41,0.36,0.4,0.58,0.51,0.23,0.62,0.55,0.45,0.73,0.73,0.75,0.81,0.45,0.63,0.59,0.67,0.57,0.54,0.7,0.51,0.65,0.72,0.45,
mi,0.07,0.1,0.37,0.46,0.44,0.36,0.38,0.39,0.17,0.28,0.45,0.39,0.53,0.41,0.05,0.43,0.32,0.33,0.28,0.21,0.23,0.26,0.24,0.26,0.21,0.28,0.22,0.16,0.19,0.41,0.3,0.27,0.28,0.08,0.32,0.52,0.27,0.41,0.41,0.18,0.22,0.33,0.21,0.19,0.13,0.27,0.18,0.27,0.45,0.18,
be,0.22,0.15,0.14,0.21,0.18,0.17,0.17,0.18,0.15,0.14,0.15,0.19,0.22,0.14,0.13,0.24,0.17,0.16,0.16,0.14,0.18,0.22,0.09,0.19,0.19,0.15,0.19,0.1,0.12,0.15,0.14,0.15,0.14,0.17,0.1,0.3,0.29,0.29,0.26,0.17,0.16,0.15,0.16,0.11,0.14,0.08,0.16,0.17,0.29,0.17,
mn,0.46,0.16,0.16,0.26,0.22,0.19,0.21,0.23,0.22,0.18,0.17,0.2,0.23,0.16,0.13,0.26,0.22,0.21,0.24,0.15,0.22,0.27,0.12,0.2,0.19,0.13,0.19,0.13,0.16,0.18,0.15,0.16,0.18,0.19,0.15,0.33,0.32,0.32,0.29,0.2,0.15,0.18,0.16,0.1,0.12,0.19,0.15,0.16,0.33,0.16,
is,0.35,0.17,0.35,0.29,0.43,0.39,0.33,0.37,0.16,0.27,0.29,0.29,0.42,0.36,0.27,0.4,0.35,0.33,0.29,0.21,0.24,0.33,0.3,0.31,0.29,0.25,0.23,0.13,0.21,0.28,0.28,0.21,0.28,0.23,0.23,0.45,0.35,0.56,0.45,0.22,0.4,0.27,0.33,0.28,0.23,0.31,0.2,0.36,0.45,0.19,
mo,0.17,0.2,0.13,0.65,0.6,0.6,0.52,0.52,0.29,0.48,0.54,0.41,0.62,0.59,0.46,0.63,0.52,0.59,0.53,0.4,0.4,0.58,0.48,0.5,0.56,0.38,0.39,0.34,0.31,0.53,0.52,0.36,0.39,0.37,0.47,0.71,0.6,0.68,0.74,0.44,0.5,0.48,0.56,0.43,0.47,0.57,0.34,0.57,0.71,0.41,
mr,0.37,0.1,0.13,0.23,0.19,0.19,0.14,0.21,0.17,0.13,0.15,0.12,0.11,0.12,0.11,0.18,0.17,0.16,0.22,0.12,0.15,0.18,0.08,0.16,0.12,0.1,0.18,0.14,0.16,0.1,0.13,0.12,0.14,0.13,0.1,0.23,0.18,0.15,0.19,0.17,0.14,0.15,0.1,0.07,0.12,0.15,0.14,0.14,0.2,0.12,
so,0.1,0.37,0.62,0.62,0.67,0.63,0.43,0.49,0.26,0.54,0.58,0.36,0.68,0.67,0.45,0.59,0.5,0.66,0.5,0.47,0.38,0.68,0.45,0.54,0.52,0.45,0.59,0.38,0.4,0.51,0.44,0.2,0.54,0.6,0.43,0.75,0.67,0.73,0.8,0.49,0.57,0.59,0.6,0.53,0.46,0.69,0.36,0.61,0.67,0.44,
mt,0.12,0.27,0.62,0.49,0.67,0.58,0.56,0.53,0.32,0.52,0.55,0.5,0.63,0.56,0.4,0.53,0.61,0.6,0.42,0.43,0.37,0.56,0.41,0.53,0.53,0.47,0.43,0.27,0.34,0.55,0.44,0.25,0.45,0.32,0.39,0.67,0.62,0.69,0.8,0.44,0.53,0.49,0.56,0.45,0.33,0.56,0.3,0.51,0.64,0.43,
sq,0.18,0.12,0.37,0.36,0.46,0.5,0.32,0.44,0.16,0.28,0.33,0.38,0.5,0.4,0.41,0.35,0.49,0.37,0.28,0.2,0.22,0.19,0.14,0.44,0.28,0.26,0.13,0.1,0.2,0.55,0.4,0.11,0.26,0.12,0.15,0.54,0.36,0.63,0.44,0.16,0.38,0.33,0.3,0.19,0.25,0.34,0.1,0.34,0.41,0.2,
ur,0.29,0.14,0.18,0.21,0.22,0.18,0.15,0.19,0.17,0.18,0.16,0.13,0.1,0.15,0.11,0.18,0.17,0.15,0.21,0.14,0.19,0.19,0.11,0.17,0.17,0.11,0.17,0.13,0.16,0.15,0.14,0.11,0.14,0.18,0.15,0.32,0.25,0.22,0.21,0.18,0.14,0.14,0.11,0.11,0.13,0.17,0.14,0.19,0.24,0.13,
cy,0.35,0.29,0.58,0.58,0.67,0.66,0.61,0.58,0.4,0.6,0.57,0.5,0.73,0.6,0.49,0.62,0.6,0.7,0.56,0.42,0.44,0.66,0.51,0.55,0.59,0.46,0.55,0.39,0.43,0.58,0.56,0.28,0.63,0.47,0.46,0.78,0.7,0.75,0.84,0.51,0.62,0.56,0.65,0.59,0.59,0.61,0.42,0.63,0.68,0.45,
kk,0.37,0.13,0.17,0.25,0.2,0.17,0.18,0.19,0.16,0.14,0.16,0.16,0.24,0.18,0.12,0.24,0.18,0.18,0.22,0.13,0.19,0.2,0.09,0.18,0.14,0.13,0.14,0.11,0.14,0.14,0.13,0.12,0.15,0.14,0.09,0.3,0.3,0.27,0.25,0.13,0.15,0.15,0.15,0.15,0.09,0.18,0.12,0.17,0.3,0.13,
my,0.29,0.22,0.28,0.31,0.32,0.26,0.27,0.3,0.15,0.27,0.28,0.22,0.32,0.27,0.17,0.31,0.25,0.31,0.32,0.27,0.23,0.3,0.16,0.29,0.28,0.17,0.25,0.21,0.24,0.29,0.25,0.18,0.28,0.27,0.23,0.44,0.4,0.43,0.42,0.26,0.24,0.25,0.27,0.22,0.14,0.33,0.21,0.3,0.44,0.26,
km,0.16,0.16,0.17,0.23,0.22,0.2,0.2,0.19,0.16,0.18,0.17,0.15,0.21,0.19,0.12,0.19,0.21,0.16,0.2,0.14,0.25,0.23,0.09,0.19,0.17,0.1,0.14,0.12,0.19,0.17,0.17,0.11,0.18,0.2,0.15,0.29,0.29,0.25,0.26,0.19,0.15,0.16,0.14,0.11,0.15,0.21,0.14,0.2,0.29,0.13,
ha,0.08,0.3,0.57,0.58,0.58,0.59,0.52,0.49,0.2,0.41,0.54,0.4,0.6,0.61,0.24,0.65,0.53,0.65,0.39,0.44,0.36,0.67,0.5,0.51,0.36,0.46,0.51,0.29,0.38,0.48,0.49,0.18,0.41,0.4,0.41,0.72,0.67,0.75,0.72,0.38,0.51,0.54,0.44,0.41,0.27,0.67,0.36,0.48,0.63,0.41,
kn,0.41,0.11,0.12,0.16,0.17,0.16,0.11,0.17,0.15,0.12,0.14,0.11,0.11,0.12,0.11,0.16,0.14,0.15,0.15,0.13,0.14,0.19,0.1,0.14,0.1,0.09,0.15,0.09,0.16,0.12,0.14,0.11,0.12,0.14,0.11,0.18,0.16,0.15,0.14,0.15,0.15,0.13,0.1,0.06,0.12,0.11,0.14,0.12,0.21,0.12,
si,0.41,0.14,0.16,0.17,0.19,0.18,0.14,0.15,0.17,0.17,0.18,0.14,0.19,0.16,0.11,0.17,0.18,0.12,0.18,0.11,0.18,0.26,0.08,0.13,0.13,0.12,0.2,0.12,0.17,0.13,0.13,0.15,0.12,0.14,0.12,0.25,0.23,0.17,0.23,0.16,0.16,0.12,0.11,0.08,0.11,0.15,0.15,0.12,0.22,0.14,
pa,0.37,0.11,0.12,0.22,0.21,0.17,0.15,0.15,0.14,0.14,0.15,0.14,0.19,0.16,0.08,0.2,0.16,0.15,0.18,0.12,0.19,0.22,0.12,0.15,0.18,0.09,0.14,0.12,0.13,0.17,0.13,0.12,0.15,0.18,0.12,0.25,0.24,0.2,0.24,0.19,0.12,0.14,0.13,0.09,0.12,0.15,0.12,0.16,0.26,0.16,
ne,0.28,0.12,0.21,0.24,0.28,0.28,0.16,0.18,0.17,0.19,0.17,0.13,0.2,0.17,0.09,0.23,0.2,0.25,0.21,0.16,0.18,0.22,0.11,0.2,0.22,0.15,0.16,0.13,0.15,0.18,0.16,0.13,0.19,0.19,0.17,0.31,0.29,0.27,0.2,0.18,0.19,0.2,0.13,0.15,0.12,0.2,0.17,0.2,0.29,0.17,
yo,0.04,0.18,0.47,0.52,0.57,0.55,0.46,0.39,0.12,0.27,0.39,0.33,0.5,0.52,0.33,0.41,0.34,0.46,0.36,0.29,0.2,0.34,0.28,0.39,0.34,0.23,0.35,0.15,0.23,0.43,0.41,0.11,0.34,0.18,0.33,0.61,0.42,0.64,0.64,0.25,0.48,0.4,0.44,0.3,0.18,0.37,0.27,0.4,0.41,0.38,
gu,0.19,0.12,0.14,0.21,0.16,0.14,0.12,0.16,0.13,0.11,0.14,0.12,0.12,0.12,0.11,0.18,0.13,0.15,0.18,0.13,0.16,0.17,0.1,0.15,0.1,0.09,0.18,0.14,0.15,0.12,0.15,0.1,0.13,0.15,0.12,0.25,0.19,0.16,0.18,0.19,0.13,0.14,0.13,0.11,0.1,0.14,0.13,0.15,0.23,0.11,
yi,0.15,0.08,0.09,0.11,0.15,0.11,0.12,0.11,0.11,0.07,0.08,0.08,0.09,0.12,0.11,0.18,0.12,0.09,0.1,0.08,0.1,0.12,0.08,0.08,0.09,0.11,0.12,0.1,0.08,0.07,0.1,0.11,0.06,0.09,0.08,0.13,0.11,0.11,0.15,0.11,0.16,0.11,0.08,0.05,0.06,0.08,0.09,0.1,0.14,0.06,
af,0.26,0.42,0.61,0.51,0.67,0.56,0.63,0.65,0.31,0.59,0.57,0.4,0.75,0.65,0.45,0.65,0.49,0.68,0.53,0.53,0.45,0.68,0.55,0.62,0.64,0.52,0.62,0.42,0.45,0.62,0.53,0.41,0.56,0.66,0.45,0.75,0.71,0.78,0.78,0.51,0.62,0.59,0.64,0.49,0.6,0.69,0.5,0.68,0.67,0.4,
