source,hr,ro,zh,ca,vi,tr,no,nn,hu,lv,te,hi,lt,ga,th,bn,id,de,fi,ta,bg,ka,sv,fr,hy,sl,sk,uk,da,eu,az,it,sr,ms,ko,fa,ar,he,cs,gl,el,pt,pl,en,ru,et,es,ja,nl,
lo,1179,1385,1707,1383,1642,1365,1436,1144,1304,1203,786,1086,1239,890,1671,1026,1530,1593,1396,1142,1339,1118,1514,1702,1089,1182,1215,1427,1329,1262,1138,1551,1300,1354,1623,1543,1595,1292,1322,1224,1198,1612,1546,1921,1629,1195,1603,1727,1537,
jv,11023,18907,21760,15292,19688,17513,18810,13415,16962,13783,4952,9226,11992,8452,14816,11490,27752,21912,17037,9383,15638,13936,20923,23701,13167,14781,16141,19764,16703,15584,13097,18579,14505,20331,19247,19435,19588,12975,16710,13304,11582,21496,18775,28456,20996,14874,20770,20848,27361,
tl,15708,29674,42883,25972,31882,22420,25535,17725,29143,14806,5056,10975,16395,10050,19068,10812,26163,40696,25389,10192,23303,17292,28981,45245,24112,16213,21449,34994,19698,22397,15287,43651,24297,22418,31485,33379,28354,18197,22060,17478,19336,40613,37035,54707,36555,17208,42524,41311,36521,
ht,8383,6366,12307,23860,6629,6632,7291,5911,7614,5006,2269,4529,5800,5009,5615,4641,5798,14671,7188,3420,7688,5625,8392,16647,5927,6061,6308,12155,6714,7062,6106,19033,22626,6493,8357,20090,23377,6507,7508,5830,5690,25593,20639,11305,9580,5919,28335,8997,24905,
tg,8511,13552,16318,9977,15269,12953,12952,8513,11424,7981,2855,7014,9263,5586,9210,7263,12973,18612,11298,4974,10642,11746,13856,18758,10266,10258,12255,15141,11268,10858,10958,14897,10891,13072,14658,28531,14615,7881,11872,9922,7708,15333,15500,34426,18677,10594,16931,16378,14141,
ny,257,328,381,318,294,324,323,266,294,299,223,248,324,231,280,239,316,381,316,233,227,286,340,369,256,277,282,327,323,303,298,340,306,268,325,360,332,294,259,291,288,341,339,439,340,294,307,360,366,
bs,42378,40587,47986,31238,37512,50193,39499,22769,39291,23363,5491,13948,22802,12062,25718,17468,34617,49955,34640,13280,30589,27176,45488,59264,23543,37885,41666,54679,33276,29804,31538,46012,59054,22175,45424,46852,41813,26257,37581,24858,24915,56725,49707,71442,56042,25566,49957,45856,49831,
uz,18543,57025,73278,59777,59664,32393,21946,14328,63982,13670,4325,10407,13605,8833,14042,13067,30146,67084,19886,8400,23145,19409,44092,77677,29580,19431,51641,75836,21995,46030,24017,80039,63943,55323,24924,43165,40682,12841,22765,17589,12490,90558,86508,71982,72297,17684,76872,34903,88872,
ig,803,892,977,935,890,939,892,799,859,858,655,762,794,749,834,753,912,979,915,779,877,780,951,1021,784,841,831,949,919,856,853,978,903,839,943,978,945,849,884,810,815,1019,958,1164,898,833,995,983,946,
zu,736,947,1023,897,926,972,914,804,832,877,540,718,801,692,868,748,940,983,911,740,893,824,965,1055,801,847,806,937,919,835,810,940,890,806,964,1020,995,770,863,813,828,1040,921,1262,966,813,1001,1041,897,
su,7099,8302,10100,8346,8884,8318,8151,6174,8254,6218,2905,6133,7368,5366,8039,5818,10419,9474,8633,4554,6979,7589,8860,9888,7106,7343,8075,9487,7951,7945,6812,9299,8554,10818,9077,9699,8841,6584,7775,7299,6880,9787,8943,11835,9859,7045,9641,9809,14438,
mg,8835,28579,39761,41598,30420,12561,15821,5981,32550,6252,1920,4376,6597,4057,5989,5273,17429,37560,14671,4036,9772,7152,33233,54345,7898,7318,27773,34356,10292,27324,6332,54348,25663,24878,11969,25739,24821,9050,11865,7088,6360,50295,49767,58240,20128,6326,51454,17145,52267,
st,399,426,457,418,392,416,425,373,403,385,268,329,416,333,365,334,406,466,409,333,402,369,440,481,357,361,383,444,421,394,359,451,423,367,424,443,422,386,420,366,384,454,449,549,459,387,454,450,470,
mk,32065,52415,63387,40944,45896,60243,47915,29524,46063,27230,5730,15644,28967,12743,30257,18260,40461,69249,42927,14369,48033,32124,56815,71901,30132,33314,47383,66648,39933,37008,36056,65022,59277,29603,54018,60354,52582,33482,46496,28358,30767,73163,66033,96509,79189,30158,63718,57028,61519,
ml,11292,16012,23520,18130,19647,18132,17086,11623,16038,12674,8077,14363,12055,7579,14701,13194,19038,22397,18667,16716,15565,12128,21980,24790,11572,13045,13812,19936,15541,14960,12273,21027,14354,12984,19244,22831,21381,14627,16938,11921,12458,22224,20126,40369,22021,12420,23497,22139,19778,
sw,14312,19403,22859,18082,19122,19321,20416,14304,18079,13290,4075,9265,14331,9173,14588,10365,18479,25614,20243,8581,16677,15876,22527,27339,13542,15106,17306,21155,18050,17531,13008,24415,18434,13900,21405,23306,19947,13789,18857,14937,12963,24250,22920,32764,22804,15417,23924,22624,21394,
