Final	language wiki	Filtered	join with English wiki 2015
bn	262711	25174	15296
la	204379	42166	22443
ka	195137	36894	20934
br	102249	25603	14307
io	36631	9876	2857
mg	153125	25988	2692
ps	13685	2007	1104
ba	74778	25042	2222
kn	47444	9058	4194
za	1655	51	38
ho	14	2	1
my	48006	3554	1919
se	14436	531	321
kv	8976	1727	576
sd	6734	393	81
ru	3395378	910537	222039
fa	2275129	147280	77975
ko	795213	151686	69196
th	327294	41927	21607
hr	251232	88182	43560
bs	260745	47504	15956
mr	121567	9147	5005
ia	22062	2673	2071
ee	1021	49	45
as	28400	4115	1540
os	36053	1454	685
si	43366	5089	2035
ku	45069	6971	3160
hz	26	0	0
mn	36682	7663	5042
ig	3347	128	58
lg	1246	68	10
dv	8633	865	309
it	2474271	751955	327493
vi	1529056	146103	76168
fi	728937	214865	116033
eo	442071	122564	55539
kk	348909	79514	11601
az	201161	32202	13211
sq	107431	15708	7788
or	32284	3834	1319
ht	58793	11458	188
cr	910	13	4
fj	718	21	18
ts	930	33	14
rm	6172	1019	552
bh	13192	603	212
ay	5049	2326	128
am	24347	2140	931
sc	8305	1750	1176
sn	4649	394	244
es	3165178	914927	368434
ar	1102135	155961	77631
no	822868	245505	123940
el	226740	86007	45679
uz	466953	5655	3082
ur	315674	14792	9133
cy	142580	28831	15776
gd	24820	4333	2682
ha	2128	92	62
ks	541	13	5
ny	488	33	24
li	30797	6605	4239
ab	1918	65	30
ii	78	5	3
ky	47393	8374	1682
bm	1076	118	59
kw	5807	776	585
iu	1399	13	6
ja	1970771	276796	97303
uk	1265197	348022	124979
he	505034	163900	82942
mk	208666	51434	21397
lt	311098	85034	39342
lv	197083	38202	21876
af	74086	23244	16139
ve	499	22	8
ti	524	28	8
jv	92740	15084	8862
rn	686	16	6
kl	2523	128	104
sa	27375	3310	1779
cv	50915	18404	3197
rw	3999	244	172
kj	12	2	2
ie	3990	925	622
to	5047	369	185
nl	2655623	547086	234774
ca	901741	345951	139936
cs	663903	254448	114378
nn	258019	64850	42676
sl	285550	80243	36690
be	227713	49112	25927
ga	50484	9083	6476
km	19156	2609	810
dz	482	15	8
om	1673	242	142
ff	674	29	21
st	696	12	3
ss	887	99	67
co	10657	1319	747
ik	1235	8	6
wo	3279	298	187
sm	862	97	72
bi	827	19	11
pt	1987508	512718	217767
id	802043	122990	65338
da	419200	129771	63941
ml	162836	21062	12408
et	273035	63625	29533
te	123451	19477	8560
pa	36916	4975	3270
is	82461	18179	10508
qu	47782	7543	2518
kr	11	0	0
nv	8472	373	286
fy	72751	23401	12405
tg	76507	4170	1302
gu	35247	5479	2423
ln	4652	314	169
lo	4733	339	232
sg	608	22	4
tn	1120	190	104
pl	1754291	629054	246171
hu	683220	215691	90599
bg	377182	124853	59124
sk	353298	79438	36419
vo	245008	29695	12740
tl	190761	13314	8555
ce	112661	6739	510
ug	7876	352	123
zu	1891	60	40
mo	995	171	79
gv	14751	1947	1401
wa	32423	6313	1765
ne	51978	5964	2300
yo	50893	1128	428
av	6017	350	105
kg	1376	48	33
cu	2795	99	72
ch	388	35	25
zh	2680339	76272	43200
ro	1053857	111986	52739
ms	389891	49871	26536
eu	514644	84384	33019
ta	146032	31197	17353
oc	131295	31042	11320
lb	87345	22526	10647
an	77449	18175	7982
sw	62813	9253	6536
ng	76	17	14
yi	29888	6460	3856
mh	29	5	5
pi	3468	28	8
bo	13230	120	57
fo	27340	4557	2376
ki	779	26	12
mi	9523	3767	1319
de	3653951	1482675	503526
sv	3637679	396235	168182
tr	723192	154136	63496
hy	510421	68776	21164
hi	179131	33298	16789
gl	257172	79011	43601
tt	147884	34778	4477
su	35946	5115	3258
na	2618	73	60
so	10569	1053	660
ty	2051	29	6
mt	12564	2422	1455
aa	164	1	1
tw	736	6	3
ak	585	23	7
gn	5886	804	396
xh	1164	168	102
tk	9246	485	252
fr	3740554	1240582	456219
sh	4020652	235623	54851
sr	936218	148558	54853
